,harry,ron,hermione,hagrid,minerva,snape,neville,peeves,spells,chess
harry,1,34,47,3,6,1,3,2,0,0
ron,36,0,27,1,0,0,3,0,0,0
hermione,37,19,0,0,1,0,3,0,1,0
hagrid,6,3,3,0,0,0,0,0,0,0
minerva,10,6,5,0,0,0,0,0,0,0
snape,4,3,3,0,0,0,0,0,0,0
neville,4,6,4,0,0,0,0,0,0,0
peeves,2,0,0,0,0,0,0,2,0,0
spells,0,0,0,0,0,0,0,0,0,0
chess,0,0,0,0,0,0,0,0,0,0
