,harry,ron,hermione,minerva,draco,hagrid,norbert,filch
harry,0,7,8,0,0,9,0,0
ron,12,0,11,0,0,4,0,0
hermione,3,6,0,0,0,5,0,0
minerva,0,0,0,0,2,0,0,0
draco,0,0,0,1,0,0,0,0
hagrid,18,11,14,0,0,0,2,0
norbert,0,0,0,0,0,0,0,0
filch,1,0,7,0,0,0,0,0
